module	R_mucilaginosa_A_i1P6Tongue	R_mucilaginosa_A_i6P16Tongue	R_mucilaginosa_A_i6P16Tooth	R_mucilaginosa_A_mP3Tongue	R_mucilaginosa_A_mP6Tongue	R_mucilaginosa_i6P13Tooth	R_mucilaginosa_i6P1Tongue	R_mucilaginosa_i6P1Tooth	R_mucilaginosa_i6P24Tongue	R_mucilaginosa_i6P6Tongue	R_mucilaginosa_mP10Tongue	R_mucilaginosa_mP11Tongue	R_mucilaginosa_mP11Tooth	R_mucilaginosa_mP15Tongue	R_mucilaginosa_mP18Tongue	R_mucilaginosa_mP19Tooth	R_mucilaginosa_mP1Tongue	R_mucilaginosa_mP1Tooth	R_mucilaginosa_mP21Tongue	R_mucilaginosa_mP24Tooth	R_mucilaginosa_mP7Tongue	R_mucilaginosa_mP9Tongue	Rothia_sp001808955_i1P15Tongue	Rothia_sp001808955_i6P15Tongue	Rothia_sp001808955_i6P15Tooth	Rothia_sp001808955_mP14Tongue	Rothia_sp001808955_mP21Tooth	Rothia_sp001808955_mP23Tongue	Rothia_sp001808955_mP23Tooth	Rothia_sp001808955_mP24Tongue	Rothia_sp001808955_mP2Tooth	Rothia_sp001808955_mP3Tooth	Rothia_sp001808955_mP5Tooth	Rothia_sp001836735_i6P13Tongue	Rothia_sp001836735_mP16Tongue	Rothia_sp902373285_i6P10Tongue	Rothia_sp902373285_i6P10Tooth	Rothia_sp902373285_i6P11Tongue	Rothia_sp902373285_i6P11Tooth	Rothia_sp902373285_i6P12Tongue	Rothia_sp902373285_i6P12Tooth	Rothia_sp902373285_i6P14Tooth	Rothia_sp902373285_i6P17Tongue	Rothia_sp902373285_i6P17Tooth	Rothia_sp902373285_i6P19Tooth	Rothia_sp902373285_i6P2Tongue	Rothia_sp902373285_i6P5Tooth	Rothia_sp902373285_i6P7Tongue	Rothia_sp902373285_i6P7Tooth	Rothia_sp902373285_i6P8Tongue	rmucilaginosa141RMUC_43675	rmucilaginosaATCC25296	rmucilaginosaDY18
M00157	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
M00167	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	1	1	0	1	0	1	0	1	1	1	0	0	0	1	1	1	1
M00307	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1
M00364	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
M00365	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
M00432	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
M00525	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
M00526	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	1	1	1	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
M00527	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
M00530	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
M00570	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
M00579	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1
M00621	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1
M00793	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
M00846	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
M00868	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1
M00880	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
M00881	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
M00909	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
M00916	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
M00926	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
M00938	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
M00958	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00959	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00970	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
